start_date,end_date,created_on,lat,lon,l1,l2,l3,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,currency,title,description,property_type,operation_type
2019-10-17,2019-12-23,2019-10-17,-34.6058798,-58.38494910000001,Argentina,Capital Federal,San Cristobal,7.0,7.0,2.0,140.0,140.0,153000.0,USD,"***Venta semipiso centro, ideal hostel*****","DESCRIPCION DE LA PROPIEDAD: Departamento de 140,65 metros cubiertos según escritura. Segundo piso por escalera. Dormitorios siete  / ",Departamento,Venta
2019-10-17,2019-11-21,2019-10-17,-34.624055600000005,-58.41211020000001,Argentina,Capital Federal,Boedo,2.0,1.0,2.0,70.0,58.0,159000.0,USD,Espectacular PH reciclado en Boedo sin expensas.," PH reciclado en Boedo a una cuadra de la plaza sin expensas, solo 4 propietarios en el edificio en muy buen estado.58 m2 cubiertos + 12 m2 de patioabajo: living comedor doble altura patio, toilette, cocina y lavaderoarriba: dormitorio con buen placard y baño completo.Impecable. Luz, sol y verde.Claudia Mascitti CMCPSI 6019",PH,Venta
2019-10-17,2019-11-01,2019-10-17,-34.593569,-58.427474,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,45.0,45.0,125000.0,USD,Depto.tipo casa de 2 ambientes en Venta en Palermo,"2 ambienets amplio , excelente estado , patio  , cocina comedor . 45 mts. Migliorisi VE - Se deja constancia que las caracteristicas, medidas, expensas y superficies  consignadas son aproximadas, sujetos a verificación y/o ajuste. El precio del inmueble puede ser modificado sin previo aviso. Fotos de carácter no contractual. Las unidades publicadas están sujetas a disponibilidad.",PH,Venta
2019-10-17,2019-12-23,2019-10-17,-34.5812941,-58.4367541,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,85.0,50.0,295000.0,USD,COSTA RICA 5800 / PALERMO HOLLYWOOD / VENTA PH 2 AMBIENTES,"HERMOSO PH EN PALERMO!!!2 AMBIENTES TOTALMENTE RECICLADOS!!!LIVING/COMEDOR AL CONTRAFRENTE CON SALIDA A PATIO CON ADOQUINES Y PALMERA-DORMITORIO CON BALCON-COCINA Y BAÑO-TERRAZA//SUPER LUMINOSO Y CON EXCELENTE VENTILACION!!!ESTA UBICADO EN PLANTA BAJA, ES EL DEPTO DEL MEDIO POR PASILLOEXCELENTE UBICACION, DONDE NO SE PERMITEN LA CONSTRUCCION DE EDIFICIOS, POR LO QUE SE GARANTIZA EL AIRE Y EL SOL.APTO PROFESIONALNO PAGA EXPENSAS!!!Sup.Total: 85 MtsSup.Cub: 50 MtsSup.desc: 35 MtsSe deja constancia que las medidas (tanto totales como parciales), superficies, m2 y proporciones indicadas en el presente son aproximadas y sujetas a verificación, variación y/o ajuste. Las expensas pueden sufrir variaciones.",PH,Venta
2019-10-17,2020-03-11,2019-10-17,-34.9141937305,-57.938219141000005,Argentina,Bs.As. G.B.A. Zona Sur,La Plata,2.0,1.0,1.0,50.0,35.0,40000.0,USD,"58 entre 1 y 2  Venta de departamento en ph.1 Dormitorio , La Plata","58 entre 1 y 2  Venta de departamento en PH. Primer piso por escaleras. Living comedor, cocina integrada, 1 dormitorio , baño con ducha, terraza de 15 metros, tipo de calefacción por tiro balanceado, ventilación cruzada, zona de facultades. SIN EXPENSAS",PH,Venta
2019-10-17,2019-11-01,2019-10-17,-34.5937790591,-58.441238875500005,Argentina,Capital Federal,Villa Crespo,2.0,1.0,1.0,56.0,56.0,150000.0,USD,Depto.tipo casa de 2 ambientes en Venta en Villa crespo,"Excelente ph solo 2 unidades, no paga expensas,  muy buena distribución ambientes amplios cuenta con terraza amplia de uso comun, cercano a todo medio de transporte a media cuadra del metro bus y cercano a estacion malabia.Se deja constancia que las caracteristicas, medidas, expensas y superficies  consignadas son aproximadas, sujetos a verificación y/o ajuste. El precio del inmueble puede ser modificado sin previo aviso. Fotos de carácter no contractual. Las unidades publicadas están sujetas a disponibilidad.",PH,Venta
2019-10-17,2019-10-31,2019-10-17,-34.6009881129,-58.4330614828,Argentina,Capital Federal,Villa Crespo,2.0,1.0,1.0,70.0,70.0,159500.0,USD,Depto.tipo casa de 2 ambientes en Venta en Villa crespo,"Muy lindo PH, con terraza propia, 96m2! por escalera, en muy buen estado general, en la terraza se puede construir una parrilla, tiene un espacio para multiple uso, con piso de parquet, baño completo con bañera, estufa hogar, 1 aire f/c, Apto profesional. Buena ubicacion a una cuadra subte B (A. Gallardo) - Se deja constancia que las caracteristicas, medidas, expensas y superficies  consignadas son aproximadas, sujetos a verificación y/o ajuste. El precio del inmueble puede ser modificado sin previo aviso. Fotos de carácter no contractual. Las unidades publicadas están sujetas a disponibilidad. COMERCIALIZA INMOBILIARIA MIGLIORISI - AV. CORRIENTES 4599 - T.E.: 11-52734599 / 11-52721892",PH,Venta
2019-10-17,2019-10-31,2019-10-17,-34.6009881129,-58.4330614828,Argentina,Capital Federal,Villa Crespo,2.0,1.0,1.0,70.0,70.0,159500.0,USD,Depto.tipo casa de 2 ambientes en Venta en Villa crespo,"Muy lindo PH, con terraza propia, 96m2! por escalera, en muy buen estado general, en la terraza se puede construir una parrilla, tiene un espacio para multiple uso, con piso de parquet, baño completo con bañera, estufa hogar, 1 aire f/c, Apto profesional. Buena ubicacion a una cuadra subte B (A. Gallardo) - Se deja constancia que las caracteristicas, medidas, expensas y superficies  consignadas son aproximadas, sujetos a verificación y/o ajuste. El precio del inmueble puede ser modificado sin previo aviso. Fotos de carácter no contractual. Las unidades publicadas están sujetas a disponibilidad. COMERCIALIZA INMOBILIARIA MIGLIORISI - AV. CORRIENTES 4599 - T.E.: 11-52734599 / 11-52721892",PH,Venta
2019-10-17,2019-12-23,2019-10-17,-34.6395984,-58.4196118,Argentina,Capital Federal,Parque Patricios,1.0,1.0,1.0,45.0,37.0,89000.0,USD,"PH SIN EXPENSAS, AMPLIO MONOAMBIENTE DIVISIBLE, CON PATIO Y MUY LUMINOSO EN PARQUE PATRICIOS","VENTA DE PH, EN EXCELENTE ESTADO, EN PARQUE PATRICIOS /   AMPLIO MONOAMBIENTE DIVISIBLE, CON PATIO Y MUY LUMINOSO/PH DE DOS PLANTAS, CON SOLO 3 UF EN TOTAL / AVENIDA CASEROS AL 3900, ENTRE JOSE MÁRMOL Y 33 ORIENTALES //PISO: PB, AL CONTRAFRENTE //PRECIO DE VENTA: U$S 89.000 //SIN EXPENSAS / FONDO DE RESERVA DE: $600 PARA CUBRIR GASTOS /SUPERFICIE TOTAL: 45,40 M2 //SUPERFICIE CUBIERTA: 36,70 M2 + PATIO: 8,70 M2 /DORMITORIO-LIVING COMEDOR CON AMPLIOS PLACARDS /COCINA /BAÑO COMPLETO /PATIO CON CONEXIÓN PARA LAVARROPAS /ESTUFA TIRO BALANCEADO / CALEFON /MUY BUENA UBICACIÓN, MUY CERCANO DE AVDA. LA PLATA Y AVDA. BOEDO, CERCANO A NUEVA SEDE DE LA JEFATURA DE GOBIERNO DE LA CIUDAD DE BUENOS AIRES Y AL PARQUE DE LOS PATRICIOS. MÚLTIPLES MEDIOS DE TRANSPORTE, INCLUIDO DIVERSIDAD DE COLECTIVOS Y EL SUBTE LINEA ""H"" (ESTACIÓN HOSPITALES). //  ",PH,Venta
2019-10-17,2019-12-23,2019-10-17,-34.6395984,-58.4196118,Argentina,Capital Federal,Parque Patricios,1.0,1.0,1.0,45.0,37.0,89000.0,USD,"PH SIN EXPENSAS, AMPLIO MONOAMBIENTE DIVISIBLE, CON PATIO Y MUY LUMINOSO EN PARQUE PATRICIOS","VENTA DE PH, EN EXCELENTE ESTADO, EN PARQUE PATRICIOS /   AMPLIO MONOAMBIENTE DIVISIBLE, CON PATIO Y MUY LUMINOSO/PH DE DOS PLANTAS, CON SOLO 3 UF EN TOTAL / AVENIDA CASEROS AL 3900, ENTRE JOSE MÁRMOL Y 33 ORIENTALES //PISO: PB, AL CONTRAFRENTE //PRECIO DE VENTA: U$S 89.000 //SIN EXPENSAS / FONDO DE RESERVA DE: $600 PARA CUBRIR GASTOS /SUPERFICIE TOTAL: 45,40 M2 //SUPERFICIE CUBIERTA: 36,70 M2 + PATIO: 8,70 M2 /DORMITORIO-LIVING COMEDOR CON AMPLIOS PLACARDS /COCINA /BAÑO COMPLETO /PATIO CON CONEXIÓN PARA LAVARROPAS /ESTUFA TIRO BALANCEADO / CALEFON /MUY BUENA UBICACIÓN, MUY CERCANO DE AVDA. LA PLATA Y AVDA. BOEDO, CERCANO A NUEVA SEDE DE LA JEFATURA DE GOBIERNO DE LA CIUDAD DE BUENOS AIRES Y AL PARQUE DE LOS PATRICIOS. MÚLTIPLES MEDIOS DE TRANSPORTE, INCLUIDO DIVERSIDAD DE COLECTIVOS Y EL SUBTE LINEA ""H"" (ESTACIÓN HOSPITALES). //  ",PH,Venta
2019-10-17,2019-12-07,2019-10-17,-34.5862251,-58.4962196,Argentina,Capital Federal,Villa Pueyrredón,2.0,1.0,2.0,66.0,49.0,170000.0,USD,"Villa Pueyrredón PH 2 ambientes con 2 terrazas, Jose Cubas 2500.","PH CON TERRAZAS PROPIAS EN DUPLEX MUY LUMINOSO  EN EXCELENTE ESTADO!!! EDIFICIO DE 18 AÑOS DE ANTIGÜEDAD. • Complejo residencial de 8 unidades funcionales.• Se encuentra en el contrafrente (súper silencioso) y se accede por escalera  (1er piso).En el primer nivel: LIVING-COMEDOR con BALCON.• Muy luminoso con un equipo de aire acondicionado Frío-Calor y calefactor Eskabe.COCINA.• Luminosa, con gran ventanal y una barra desayunadora.• Excelente capacidad de guardado en su bajo mesada, alacena y además posee gran armario. • Cocina Eslabón de Lujo de 3 años de uso.TOILLETEEn la Planta Alta: DORMITORIO EN SUITE.• Placard incorporado de madera con dos amplías puertas y dos más chicas, todas corredizas.• Un equipo de aire acondicionado split frío/calor y calefactor de tiro balanceado.• Baño completó con bañera, mampara de vidrio templado de cuatro hojas y ventana.Salida a una hermosa terrazaDesde hall de la planta alta accedemos a una segunda terraza con parrilla:• Lavadero con conexión para lavarropas y pileta enlozada.Calefon a gas marca Orbis “a botonera” 6 meses de uso.Toldo abanico, hecho a nuevo recientemente. GENERALIDADES• Pasillo distribuidor provisto con practico placard para blanquearía.• Pisos de cerámica en living- comedor y flotante en dormitorio.• Revestimiento de piedras en living-comedor, barra desayunadora y pared del dormitorio.• Dos baños con grifería monocomando FV y sanitarios marca ROCA.• Tablero eléctrico con interruptores llave Térmica.• Mesada de mármol Gris Mara con bacha doble. EXCELENTE UBICACIÓN.• A siete cuadras del ferrocarril mitre (estación Pueyrredon), a doce cuadras de la estación ECHEVERRIA de la línea B de subte, y numerosas líneas de colectivos.• A dos cuadras del centro de Villa Pueyrredón donde podes encontrar comercios como Havana, Farmacity, Gimnasios y muchos más.- EXPENSAS JUNIO: $ 1.600- SUP. TOTAL: 65 M2- SUP. TERRAZAS 1 (4 m x 2 m): 8 M2- SUP. TERRAZAS 2 (4 m x 2 m): 8 M2- SUP. TOTAL DESCUBIERTA: 17 M2- SUP. TOTAL CUBIERTA: 49 M2 DIGNO DE VER!!!!Ley 5115- Art 2 "" No Accesible""Matriculado Responsable Marcelo Alegre Mat CPI 7368",PH,Venta
2019-10-17,2019-10-26,2019-10-17,-34.603683000000004,-58.381557,Argentina,Capital Federal,Boedo,2.0,1.0,1.0,68.0,59.0,149000.0,USD,Venta Departamento en Boedo Capital Federal Garay 3700,"Departamento en Venta, 2 ambientes espectacular estado. Balcon terraza.,  con una superficie total de 68m²,   2 ambientes, . Excelente semipiso, al frente con solo 5 meses de uso. Fue decorado y modificado logrando así una unidad única. Descripción del inmueble : -Amplio living comedor al frente con pisos de porcelanato. -Ventanal con salida a un hermoso balcon terraza. Con una vista encantadora. -Aire frio calor en los ambientes. -Cocina incorporada al living a través de una barra desayunadora.muebles completos, en excelente estado y calidad. Ventilaciónpropia, con ventana al exterior. -Baño completo, bañera y hermoso vanitory realizado especialmente para el ambiente. -El dormitorio posee también una excelente luminosidad y vista. Amplio placard con interior nuevo. -Hall de ingreso con acceso a otro balcón que se entregara con cerramiento de vidrio, enese espacio quedará un cómodo lavadero. El edificio posee sum y parrilla. Abona bajas expensas. Es segunda escritura. Venta no condicionada a reemplazo devivienda. Excelente ubicacion, sobre Av. Juan de Garay, vista abierta com muchosol y rapido acceso a los centros comerciales, lineas de colectivo y a subida deAutopista. Inmobiliaria Salguero Propiedades, se esfuerza para asegurarse de quela información que aparece en esta página web es correcta y se encuentraactualizada. Se deja constancia que las medidas, superficies, m2 y proporcionesconsignadas son aproximados, al igual que las medidas parciales y/o de losambientes está sujeto a verificación y/o ajuste. Las definitivas surgirán de losplanos de subdivisión. El precio del inmueble puede ser modificado sin previoaviso. Fotos de carácter no contractual. Los valores de expensas pueden variar.Salguero Propiedades   Salguero 780 www.salguero- Propiedades: resultados que te mudan.. . Para más información visite nuestro sitio web http://www.salguero-",Departamento,Venta
2019-10-17,2019-12-19,2019-10-17,-34.6303489,-58.41722270000001,Argentina,Capital Federal,Boedo,2.0,1.0,1.0,50.0,44.0,115000.0,USD,Departamento dos ambientes tipo duplex - Venta en Boedo - Av. Pavon y Castro Barros,"Amplio dos ambientes en duplex, 7 años de antigüedad, contrafrente a pulmón abierto, muy luminoso, en la planta inferior cuenta con living comedor con salida a balcón cocina integrada con buen espacio de guardado y lavadero incorporado, pisos de porcelanato. En la planta superior amplio dormitorio con pisos flotante, placard que ocupa toda la pared, con salida a segundo balcón, espacio escritorio independiente con piso de porcelanato y baño completo. El edificio cuenta con piscina y solarium, sistema de cámaras de seguridad. Zona de amplia expansión, múltiples medios de transportes, cinco cuadras del subte. ",Departamento,Venta
2019-10-17,2019-11-30,2019-10-17,-34.5459900584,-58.8593566086,Argentina,Bs.As. G.B.A. Zona Norte,Pilar,1.0,1.0,1.0,50.0,35.0,45000.0,USD,Monoambiente con cochera en Boca Ratón. Oportunidad,"Departamento monoambiente muy luminoso, impecable. 1 Cochera semicubierta privada.Fácil acceso, desde Autopista Panamericana (Ramal Pilar) o Acceso Oeste.SERVICIOSLuz, Gas natural, Teléfono, Cable T.V. e Internet de 10 MB por fibra óptica totalmente subterráneo.Emergencia médica, guardería y colonia de vacaciones, plaza con juegos infantiles.Escuelas deportivas para chicos y adultos en todos los deportes.Actividades recreativas, servicios de spa.Club House con restaurant gourmet y Club house para jóvenes.Gimnasio totalmente equipado, piscina climatizada, piscina descubierta olímpica con solarium.Área comercial, minimercado, heladería &amp; cafetería, panadería.Seguridad privada y propia las 24 hs .Cancha de Golf de 18 Hoyos ,5 Canchas de tenis de polvo de ladrillo,2 Canchas de pádel, 2 Canchas de fútbol 11 profesional con sistema de iluminación y 2 canchas de fútbol 5, 2 Canchas de hockey sobre césped. Fee de ingreso al barrio por única vez a cargo del comprador (5 mil dólares).Para más información, consúltenos sin compromiso. Estamos para asesorarlo. Corredor Responsable: Francisco Elías CPMCLZ N°4114",Departamento,Venta
